stock_symbol,operating_profit_sep_2021,operating_profit_sep_2022,eps_sep_2021,eps_sep_2022,promoter_holding_sep_2021,promoter_holding_sep_2022,public_holding_sep_2021,public_holding_sep_2022
LAURUSLABS,334,426,3.68,4.23,27.30,27.27,45.06,40.74
LCCINFOTEC,-0.22,-0.49,-0.02,-0.04,45.88,45.84,54.04,54.07
LFIC,3.77,3.35,10.40,8.80,None,None,None,None
LIBAS,2.00,1.36,0.34,0.23,None,None,None,None
LICHSGFIN,None,None,4.51,5.54,45.24,45.24,15.73,13.10
LINC,7.61,15.57,2.41,6.43,60.03,58.70,39.97,41.23
LINDEINDIA,130,144,7.31,10.64,75.00,75.00,13.91,14.45
LOTUSEYE,2.09,1.76,0.60,0.43,57.74,57.88,42.26,42.12
LPDC,-0.11,-0.44,0.01,-0.01,65.16,65.10,34.71,34.78
LT,1702,1907,15.28,15.01,None,None,43.80,37.17
LUMAXIND,37,60,14.96,26.33,75.00,75.00,24.11,23.95
LUPIN,-1399,314,-29.27,3.27,46.83,47.11,12.76,11.45
LXCHEM,None,None,None,None,None,None,None,None
LYPSAGEMS,0.09,0.11,0.01,0.01,36.37,36.37,61.39,61.39
M&MFIN,None,None,8.28,3.63,52.16,52.16,12.78,8.60
MACPOWER,6.36,5.94,4.35,3.85,None,None,None,None
MADHUCON,36.75,-2.45,-0.12,-0.47,58.96,59.08,41.01,40.88
MAGNUM,4.61,8.34,0.21,1.01,53.08,53.24,46.92,46.76
MAHAPEXLTD,1.23,0.62,2.77,0.73,62.54,62.54,37.45,37.46
MAHESHWARI,12.85,14.43,1.69,1.55,None,None,None,None
MAHLIFE,-29,-37,-0.28,-1.29,51.45,51.31,20.94,18.92
MAHSEAMLES,124,181,6.92,9.18,64.90,67.61,30.96,25.18
MALUPAPER,-0.41,-4.14,-1.51,-3.25,69.95,69.95,30.05,30.05
MANAKSIA,0.63,1.13,0.17,0.10,74.93,74.93,24.79,24.52
MANALIPETC,161,17,6.95,0.68,44.86,44.87,53.28,52.86
MANGCHEFER,65,-19,2.45,-2.72,60.21,60.55,36.96,36.12
MANINFRA,6,26,0.80,1.47,66.48,67.03,31.78,30.77
MANUGRAPH,-2.90,-2.74,-1.05,-1.15,57.65,57.66,40.70,41.57
MARALOVER,34,-5,4.80,-2.61,74.95,74.95,24.96,24.94
MARICO,296,308,2.55,2.58,59.52,59.48,5.87,5.46
MARSHALL,None,None,None,None,None,None,None,None
MASFIN,128,177,7.01,8.98,73.60,73.72,14.71,14.53
MATRIMONY,25,18,7.38,5.42,50.17,51.61,9.05,9.28
MAXHEALTH,109,152,0.77,3.70,None,None,None,None
MAYURUNIQ,35,34,5.59,5.78,59.87,59.11,33.85,32.11
MBAPL,19,55,2.12,7.43,None,None,None,None
MCDOWELL-N,426,446,3.76,7.75,56.73,56.74,14.53,15.58
MCLEODRUSS,182,207,12.37,12.67,4.33,6.25,92.84,88.14
MEDICO,None,None,None,None,73.34,73.34,26.66,26.65
MEGASTAR,None,None,None,None,None,None,None,None
MENONBE,9.88,10.90,1.05,1.23,71.25,71.25,26.28,26.90
METALFORGE,-58,-3,-100.83,-14.98,61.32,61.32,38.66,38.67
MFL,None,None,None,None,None,None,None,None
MGEL,None,None,None,None,None,None,None,None
MICEL,-0.27,-0.28,-0.19,-0.02,0.00,74.63,100.00,25.36
MINDACORP,75,94,1.75,2.03,64.73,64.72,15.95,15.61
MINDTREE,531,697,24.20,30.86,61.00,60.95,13.88,15.13
MITTAL,0.12,0.02,0.05,0.00,None,None,None,None
MMTC,-28,-36,-1.24,7.45,89.93,89.93,7.13,7.49
MOL,None,None,None,None,None,None,None,None
MONARCH,8,16,4.13,3.54,55.09,55.27,41.83,41.60
MORARJEE,-3,-13,-6.96,-10.63,59.71,59.71,31.84,31.83
MOTILALOFS,442,428,23.52,21.89,70.48,69.57,18.14,16.12
MPHASIS,422,477,15.94,17.72,55.95,55.70,5.25,5.80
MRO-TEK,3.00,-0.84,0.30,-0.92,54.79,55.04,45.21,44.96
MSPL,42,-34,0.24,-1.58,41.62,41.61,28.58,41.74
MTARTECH,None,None,None,None,None,None,None,None
MUKANDLTD,53,48,0.83,0.79,74.35,73.82,22.02,23.92
MUNJALAU,10.17,15.50,0.35,0.81,74.81,74.81,25.12,25.15
MUTHOOTCAP,None,None,-4.91,11.07,62.62,62.62,21.01,33.80
NAGAFERT,-35,-20,-2.38,-3.05,57.13,57.13,42.75,42.77
NAHARCAP,13,13,8.07,10.65,71.24,71.55,28.63,27.95
NAHARSPING,213,60,37.83,11.01,66.31,66.31,32.82,32.69
NATHBIOGEN,4.80,4.95,0.65,0.77,41.03,45.59,49.58,49.77
NAVINFLUOR,84,90,12.54,12.94,30.20,29.40,28.20,27.86
NAZARA,None,None,None,None,None,None,None,None
NDGL,4.68,6.57,33.00,53.40,None,None,None,None
NDTV,9.23,10.45,1.58,1.27,61.45,61.44,24.03,23.84
NELCAST,13,27,0.39,1.40,74.87,74.87,24.87,23.66
NESCO,50,101,6.25,11.63,68.54,68.54,24.30,25.07
NEULANDLAB,43,69,15.85,29.88,36.22,36.22,42.10,39.07
NEXTMEDIA,-0.22,-0.29,-0.09,-0.10,74.99,74.99,22.57,22.56
NHPC,1796,1827,1.30,1.43,70.95,70.95,8.18,7.83
